"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year","depth","lon","lat","sat","satcut"
"1","Edwards",-14.18,"KINSLEY SW",1973-06-07,374954099270701,47,0,c(-99.4554039, 37.8324972),"1973","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"2","Edwards",-15.15,"KINSLEY SW",1973-12-13,374954099270701,47,0,c(-99.4554039, 37.8324972),"1973","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"3","Edwards",-17.9,"KINSLEY SW",1979-02-06,374954099270701,47,0,c(-99.4554039, 37.8324972),"1979","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"4","Edwards",-18.03,"KINSLEY SW",1980-01-21,374954099270701,47,0,c(-99.4554039, 37.8324972),"1980","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"5","Edwards",-18.84,"KINSLEY SW",1981-01-26,374954099270701,47,0,c(-99.4554039, 37.8324972),"1981","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"6","Edwards",-18.48,"KINSLEY SW",1982-01-25,374954099270701,47,0,c(-99.4554039, 37.8324972),"1982","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"7","Edwards",-18.05,"KINSLEY SW",1983-01-25,374954099270701,47,0,c(-99.4554039, 37.8324972),"1983","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"8","Edwards",-19.95,"KINSLEY SW",1985-01-15,374954099270701,47,0,c(-99.4554039, 37.8324972),"1985","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"9","Edwards",-19.5,"KINSLEY SW",1986-01-14,374954099270701,47,0,c(-99.4554039, 37.8324972),"1986","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"10","Edwards",-18.3,"KINSLEY SW",1987-01-13,374954099270701,47,0,c(-99.4554039, 37.8324972),"1987","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"11","Edwards",-17.7,"KINSLEY SW",1988-01-20,374954099270701,47,0,c(-99.4554039, 37.8324972),"1988","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"12","Edwards",-18.5,"KINSLEY SW",1989-01-18,374954099270701,47,0,c(-99.4554039, 37.8324972),"1989","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"13","Edwards",-18.7,"KINSLEY SW",1990-01-17,374954099270701,47,0,c(-99.4554039, 37.8324972),"1990","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"14","Edwards",-19.4,"KINSLEY SW",1991-01-15,374954099270701,47,0,c(-99.4554039, 37.8324972),"1991","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"15","Edwards",-21.2,"KINSLEY SW",1992-01-14,374954099270701,47,0,c(-99.4554039, 37.8324972),"1992","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"16","Edwards",-20.1,"KINSLEY SW",1993-01-27,374954099270701,47,0,c(-99.4554039, 37.8324972),"1993","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"17","Edwards",-22.48,"KINSLEY SW",1993-04-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"1993","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"18","Edwards",-19.18,"KINSLEY SW",1996-01-22,374954099270701,47,0,c(-99.4554039, 37.8324972),"1996","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"19","Edwards",-16.8,"KINSLEY SW",1997-01-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"1997","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"20","Edwards",-16.85,"KINSLEY SW",1997-01-16,374954099270701,47,0,c(-99.4554039, 37.8324972),"1997","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"21","Edwards",-17.3,"KINSLEY SW",1997-09-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"1997","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"22","Edwards",-16.06,"KINSLEY SW",1998-01-15,374954099270701,47,0,c(-99.4554039, 37.8324972),"1998","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"23","Edwards",-14.8,"KINSLEY SW",1998-04-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"1998","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"24","Edwards",-16.63,"KINSLEY SW",1999-01-14,374954099270701,47,0,c(-99.4554039, 37.8324972),"1999","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"25","Edwards",-16.28,"KINSLEY SW",1999-09-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"1999","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"26","Edwards",-16.54,"KINSLEY SW",2000-01-13,374954099270701,47,0,c(-99.4554039, 37.8324972),"2000","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"27","Edwards",-16.03,"KINSLEY SW",2000-04-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"2000","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"28","Edwards",-18.29,"KINSLEY SW",2000-09-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"2000","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"29","Edwards",-18.4,"KINSLEY SW",2001-01-11,374954099270701,47,0,c(-99.4554039, 37.8324972),"2001","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"30","Edwards",-18.1,"KINSLEY SW",2001-06-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"2001","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"31","Edwards",-19.9,"KINSLEY SW",2001-07-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"2001","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"32","Edwards",-20.23,"KINSLEY SW",2001-09-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"2001","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"33","Edwards",-19.05,"KINSLEY SW",2002-01-07,374954099270701,47,0,c(-99.4554039, 37.8324972),"2002","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"34","Edwards",-22.09,"KINSLEY SW",2002-03-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"2002","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"35","Edwards",-21.23,"KINSLEY SW",2002-09-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"2002","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"36","Edwards",-21.04,"KINSLEY SW",2003-01-08,374954099270701,47,0,c(-99.4554039, 37.8324972),"2003","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"37","Edwards",-20.88,"KINSLEY SW",2003-04-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"2003","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"38","Edwards",-22.31,"KINSLEY SW",2003-10-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"2003","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"39","Edwards",-21.54,"KINSLEY SW",2004-01-08,374954099270701,47,0,c(-99.4554039, 37.8324972),"2004","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"40","Edwards",-21.58,"KINSLEY SW",2004-04-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"2004","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"41","Edwards",-22.16,"KINSLEY SW",2004-10-18,374954099270701,47,0,c(-99.4554039, 37.8324972),"2004","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"42","Edwards",-21.93,"KINSLEY SW",2005-01-12,374954099270701,47,0,c(-99.4554039, 37.8324972),"2005","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"43","Edwards",-21.93,"KINSLEY SW",2005-01-18,374954099270701,47,0,c(-99.4554039, 37.8324972),"2005","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"44","Edwards",-22.01,"KINSLEY SW",2005-04-19,374954099270701,47,0,c(-99.4554039, 37.8324972),"2005","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"45","Edwards",-22.57,"KINSLEY SW",2005-10-18,374954099270701,47,0,c(-99.4554039, 37.8324972),"2005","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"46","Edwards",-22.29,"KINSLEY SW",2006-01-10,374954099270701,47,0,c(-99.4554039, 37.8324972),"2006","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"47","Edwards",-22.52,"KINSLEY SW",2006-04-04,374954099270701,47,0,c(-99.4554039, 37.8324972),"2006","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"48","Edwards",-22.78,"KINSLEY SW",2006-10-25,374954099270701,47,0,c(-99.4554039, 37.8324972),"2006","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"49","Edwards",-22.59,"KINSLEY SW",2007-01-05,374954099270701,47,0,c(-99.4554039, 37.8324972),"2007","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"50","Edwards",-22.07,"KINSLEY SW",2007-03-28,374954099270701,47,0,c(-99.4554039, 37.8324972),"2007","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"51","Edwards",-18.88,"KINSLEY SW",2007-10-02,374954099270701,47,0,c(-99.4554039, 37.8324972),"2007","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"52","Edwards",-18.83,"KINSLEY SW",2008-01-14,374954099270701,47,0,c(-99.4554039, 37.8324972),"2008","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"53","Edwards",-19.15,"KINSLEY SW",2008-04-01,374954099270701,47,0,c(-99.4554039, 37.8324972),"2008","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"54","Edwards",-18.78,"KINSLEY SW",2008-11-25,374954099270701,47,0,c(-99.4554039, 37.8324972),"2008","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"55","Edwards",-18.7,"KINSLEY SW",2009-01-08,374954099270701,47,0,c(-99.4554039, 37.8324972),"2009","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"56","Edwards",-18.88,"KINSLEY SW",2009-04-07,374954099270701,47,0,c(-99.4554039, 37.8324972),"2009","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"57","Edwards",-19.61,"KINSLEY SW",2009-11-05,374954099270701,47,0,c(-99.4554039, 37.8324972),"2009","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"58","Edwards",-19.59,"KINSLEY SW",2010-01-12,374954099270701,47,0,c(-99.4554039, 37.8324972),"2010","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
"59","Edwards",-19.61,"KINSLEY SW",2010-04-14,374954099270701,47,0,c(-99.4554039, 37.8324972),"2010","71-0",-99.4554039,37.8324972,98.4680328,"66-131"
