"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year","depth","lon","lat","sat","satcut"
"1","Cherokee",-268,"NEUTRAL",1936-01-01,370001094502801,21,0,c(-94.844025, 37.001471),"1936","287-216",-94.844025,37.001471,NA,NA
"2","Cherokee",-254,"NEUTRAL",1939-01-01,370001094502801,21,0,c(-94.844025, 37.001471),"1939","287-216",-94.844025,37.001471,NA,NA
"3","Cherokee",-365,"NEUTRAL",1955-02-01,370001094502801,21,0,c(-94.844025, 37.001471),"1955","431-360",-94.844025,37.001471,NA,NA
"4","Cherokee",-365,"NEUTRAL",1959-02-01,370001094502801,21,0,c(-94.844025, 37.001471),"1959","431-360",-94.844025,37.001471,NA,NA
"5","Cherokee",-425,"NEUTRAL",1961-03-01,370001094502801,21,0,c(-94.844025, 37.001471),"1961","431-360",-94.844025,37.001471,NA,NA
"6","Cherokee",-322,"NEUTRAL",1961-05-01,370001094502801,21,0,c(-94.844025, 37.001471),"1961","359-288",-94.844025,37.001471,NA,NA
"7","Cherokee",-320,"NEUTRAL",1962-03-01,370001094502801,21,0,c(-94.844025, 37.001471),"1962","359-288",-94.844025,37.001471,NA,NA
"8","Cherokee",-326,"NEUTRAL",1964-04-01,370001094502801,21,0,c(-94.844025, 37.001471),"1964","359-288",-94.844025,37.001471,NA,NA
"9","Cherokee",-327,"NEUTRAL",1965-10-01,370001094502801,21,0,c(-94.844025, 37.001471),"1965","359-288",-94.844025,37.001471,NA,NA
"10","Cherokee",-430,"NEUTRAL",1967-08-23,370001094502801,21,0,c(-94.844025, 37.001471),"1967","431-360",-94.844025,37.001471,NA,NA
"11","Cherokee",-448,"NEUTRAL",1968-01-01,370001094502801,21,0,c(-94.844025, 37.001471),"1968","504-432",-94.844025,37.001471,NA,NA
"12","Cherokee",-428,"NEUTRAL",1969-12-01,370001094502801,21,0,c(-94.844025, 37.001471),"1969","431-360",-94.844025,37.001471,NA,NA
"13","Cherokee",-420,"NEUTRAL",1971-10-01,370001094502801,21,0,c(-94.844025, 37.001471),"1971","431-360",-94.844025,37.001471,NA,NA
"14","Cherokee",-197.83,"COLUMBUS",1943-02-03,371428094493801,21,0,c(-94.828469, 37.241681),"1943","215-144",-94.828469,37.241681,NA,NA
"15","Cherokee",-197.24,"COLUMBUS",1943-02-24,371428094493801,21,0,c(-94.828469, 37.241681),"1943","215-144",-94.828469,37.241681,NA,NA
"16","Cherokee",-196.89,"COLUMBUS",1943-03-25,371428094493801,21,0,c(-94.828469, 37.241681),"1943","215-144",-94.828469,37.241681,NA,NA
"17","Cherokee",-196.88,"COLUMBUS",1943-04-24,371428094493801,21,0,c(-94.828469, 37.241681),"1943","215-144",-94.828469,37.241681,NA,NA
"18","Cherokee",-197.04,"COLUMBUS",1943-05-24,371428094493801,21,0,c(-94.828469, 37.241681),"1943","215-144",-94.828469,37.241681,NA,NA
"19","Cherokee",-197.33,"COLUMBUS",1943-06-24,371428094493801,21,0,c(-94.828469, 37.241681),"1943","215-144",-94.828469,37.241681,NA,NA
"20","Cherokee",-196.53,"COLUMBUS",1943-07-23,371428094493801,21,0,c(-94.828469, 37.241681),"1943","215-144",-94.828469,37.241681,NA,NA
"21","Cherokee",-206.75,"COLUMBUS",1950-11-27,371428094493801,21,0,c(-94.828469, 37.241681),"1950","215-144",-94.828469,37.241681,NA,NA
"22","Cherokee",-208.35,"COLUMBUS",1951-01-04,371428094493801,21,0,c(-94.828469, 37.241681),"1951","215-144",-94.828469,37.241681,NA,NA
"23","Cherokee",-208.25,"COLUMBUS",1951-03-01,371428094493801,21,0,c(-94.828469, 37.241681),"1951","215-144",-94.828469,37.241681,NA,NA
